PAW protein_summary_9 results file
written: Sat Jun 20 13:37:25 2020

 	=subtotal(109,B6:B8685)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
225.0	1	REV_Q9ULU8	reversed	2.6	1353	152785	REVERSED.	4	3	0.750	2	2	1	2	1.500	2.000	REV_Q86UW7, REV_Q9ULU8
226.0	1	REV_Q9UPA5	reversed	0.4	3926	416464	REVERSED.	4	0	0.000	0	4	0	0	0.000	0.000	REV_Q9P2E9, REV_Q9UPA5, REV_Q9Y6V0, sp|O75665|OFD1_HUMAN, sp|Q8NBN7|RDH13_HUMAN
227.0	1	REV_Q9UPN3	reversed	0.6	7388	838298	REVERSED.	5	4	0.800	4	1	3	1	3.300	1.000	REV_Q9UPN3, sp|Q8N5G2|MACOI_HUMAN
228.0	1	REV_Q9UPN4	reversed	1.5	1083	122147	REVERSED.	3	3	1.000	2	1	2	1	2.000	1.000	 
229.0	1	REV_Q9UPU5	reversed	0.6	2620	294362	REVERSED.	3	3	1.000	3	0	3	0	3.000	0.000	 
230.0	1	REV_Q9UQE7	reversed	2.3	1217	141540	REVERSED.	4	3	0.750	3	1	2	1	2.182	1.000	REV_Q9UQE7, sp|Q13907|IDI1_HUMAN
231.0	1	REV_Q9Y2D8	reversed	2.9	614	71235	REVERSED.	4	1	0.250	1	3	0	1	0.000	1.100	REV_Q9Y2D8, sp|Q6P2H3|CEP85_HUMAN
232.0	1	REV_Q9Y2K6	reversed	2.8	914	102002	REVERSED.	5	5	1.000	1	4	1	4	1.000	4.000	 
233.0	1	REV_Q9Y4B5	reversed	0.8	1905	209524	REVERSED.	4	1	0.250	4	0	1	0	1.041	0.000	REV_Q9BZ29, REV_Q9Y4B5, sp|P49591|SYSC_HUMAN
234.0	1	REV_Q9Y597	reversed	1.2	815	88983	REVERSED.	3	3	1.000	1	2	1	2	1.000	2.000	 
235.0	1	REV_Q9Y661	reversed	4.2	456	49799	REVERSED.	4	3	0.750	2	2	1	2	1.333	2.000	 
236.0	1	REV_Q9Y6N7	reversed	1.2	1651	180928	REVERSED.	3	3	1.000	1	2	1	2	1.000	2.000	 
237.0	1	REV_Q9Y6V0	reversed	0.4	5142	560693	REVERSED.	6	2	0.333	1	5	0	2	0.000	2.705	REV_Q9UPA5, REV_Q9Y6V0, sp|Q8NBN7|RDH13_HUMAN, sp|Q96RT8|GCP5_HUMAN
238.0	1	sp|A0A024RBG1|NUD4B_HUMAN	 	32.0	181	20434	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B OS=Homo sapiens (Human) OX=9606 GN=NUDT4B PE=3 SV=1	8	1	0.125	4	4	0	1	0.000	1.611	sp|A0A024RBG1|NUD4B_HUMAN, sp|Q96G61|NUD11_HUMAN, sp|Q9NZJ9|NUDT4_HUMAN
239.0	1	sp|A0A096LP01|SIM26_HUMAN	 	26.3	95	10908	Small integral membrane protein 26 OS=Homo sapiens (Human) OX=9606 GN=SMIM26 PE=3 SV=1	5	5	1.000	2	3	2	3	2.000	3.000	 
240.0	1	sp|A0A0B4J2D5|GAL3B_HUMAN	 	51.9	268	28142	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=GATD3B PE=1 SV=1	32	32	1.000	21	11	21	11	21.000	11.000	 
240.0001	1	sp|P0DPI2|GAL3A_HUMAN	redundant	51.9	268	28170	Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=GATD3A PE=1 SV=1	32	32	1.000	21	11	21	11	21.000	11.000	 
241.0	1	sp|A0AV96|RBM47_HUMAN	 	11.3	593	64098	RNA-binding protein 47 OS=Homo sapiens (Human) OX=9606 GN=RBM47 PE=1 SV=2	6	6	1.000	3	3	3	3	3.000	3.000	 
242.0	1	sp|A0AVF1|IFT56_HUMAN	 	13.5	554	64177	Intraflagellar transport protein 56 OS=Homo sapiens (Human) OX=9606 GN=TTC26 PE=2 SV=1	10	10	1.000	4	6	4	6	4.000	6.000	 
243.0	1	sp|A0AVT1|UBA6_HUMAN	 	42.5	1052	117969	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens (Human) OX=9606 GN=UBA6 PE=1 SV=1	108	108	1.000	65	43	65	43	65.000	43.000	 
244.0	1	sp|A0FGR8|ESYT2_HUMAN	 	38.1	921	102356	Extended synaptotagmin-2 OS=Homo sapiens (Human) OX=9606 GN=ESYT2 PE=1 SV=1	66	66	1.000	35	31	35	31	35.000	31.000	 
245.0	1	sp|A0JNW5|UH1BL_HUMAN	 	22.8	1464	164197	UHRF1-binding protein 1-like OS=Homo sapiens (Human) OX=9606 GN=UHRF1BP1L PE=1 SV=2	45	44	0.978	20	25	19	25	19.864	25.000	sp|A0JNW5|UH1BL_HUMAN, sp|Q6BDS2|URFB1_HUMAN
246.0	1	sp|A0MZ66|SHOT1_HUMAN	 	42.8	631	71639	Shootin-1 OS=Homo sapiens (Human) OX=9606 GN=SHTN1 PE=1 SV=4	58	58	1.000	25	33	25	33	25.000	33.000	 
247.0	1	sp|A0PJW6|TM223_HUMAN	 	9.4	202	22049	Transmembrane protein 223 OS=Homo sapiens (Human) OX=9606 GN=TMEM223 PE=1 SV=1	5	5	1.000	2	3	2	3	2.000	3.000	 
248.0	1	sp|A0PK00|T120B_HUMAN	 	20.9	339	40245	Transmembrane protein 120B OS=Homo sapiens (Human) OX=9606 GN=TMEM120B PE=1 SV=1	7	7	1.000	2	5	2	5	2.000	5.000	 
249.0	1	sp|A1A4S6|RHG10_HUMAN	 	22.8	786	89374	Rho GTPase-activating protein 10 OS=Homo sapiens (Human) OX=9606 GN=ARHGAP10 PE=1 SV=1	30	30	1.000	15	15	15	15	15.000	15.000	 
250.0	1	sp|A1L0T0|ILVBL_HUMAN	 	26.4	632	67867	Acetolactate synthase-like protein OS=Homo sapiens (Human) OX=9606 GN=ILVBL PE=1 SV=2	31	31	1.000	25	6	25	6	25.000	6.000	 
251.0	1	sp|A1L190|SYCE3_HUMAN	 	15.9	88	10601	Synaptonemal complex central element protein 3 OS=Homo sapiens (Human) OX=9606 GN=SYCE3 PE=1 SV=1	2	1	0.500	2	0	1	0	1.023	0.000	sp|A1L190|SYCE3_HUMAN, sp|Q08AD1|CAMP2_HUMAN
252.0	1	sp|A1L390|PKHG3_HUMAN	 	14.6	1219	134411	Pleckstrin homology domain-containing family G member 3 OS=Homo sapiens (Human) OX=9606 GN=PLEKHG3 PE=1 SV=1	23	22	0.957	11	12	11	11	11.000	11.786	sp|A1L390|PKHG3_HUMAN, sp|Q9H7P9|PKHG2_HUMAN
253.0	1	sp|A1X283|SPD2B_HUMAN	 	16.0	911	101578	SH3 and PX domain-containing protein 2B OS=Homo sapiens (Human) OX=9606 GN=SH3PXD2B PE=1 SV=3	22	22	1.000	9	13	9	13	9.000	13.000	 
254.0	1	sp|A1XBS5|FA92A_HUMAN	 	8.0	289	33430	Protein FAM92A OS=Homo sapiens (Human) OX=9606 GN=FAM92A PE=1 SV=2	2	2	1.000	0	2	0	2	0.000	2.000	 
255.0	1	sp|A2A3K4|PTPC1_HUMAN	 	3.7	754	84456	Protein tyrosine phosphatase domain-containing protein 1 OS=Homo sapiens (Human) OX=9606 GN=PTPDC1 PE=1 SV=1	2	2	1.000	0	2	0	2	0.000	2.000	 
256.0	1	sp|A2A3N6|PIPSL_HUMAN	 	11.4	862	95047	Putative PIP5K1A and PSMD4-like protein OS=Homo sapiens (Human) OX=9606 GN=PIPSL PE=5 SV=1	32	0	0.000	22	10	0	0	0.000	0.000	sp|A2A3N6|PIPSL_HUMAN, sp|O60331|PI51C_HUMAN, sp|P55036|PSMD4_HUMAN, sp|Q99755|PI51A_HUMAN
257.0	1	sp|A2AJT9|BCLA3_HUMAN	 	6.5	711	83870	BCLAF1 and THRAP3 family member 3 OS=Homo sapiens (Human) OX=9606 GN=BCLAF3 PE=1 SV=1	4	4	1.000	0	4	0	4	0.000	4.000	 
258.0	1	sp|A2RRD8|ZN320_HUMAN	 	11.2	509	59326	Zinc finger protein 320 OS=Homo sapiens (Human) OX=9606 GN=ZNF320 PE=1 SV=1	6	0	0.000	4	2	0	0	0.000	0.500	sp|A2RRD8|ZN320_HUMAN, sp|A8MT65|ZN891_HUMAN, sp|O14709|ZN197_HUMAN, sp|O60765|Z354A_HUMAN, sp|O75437|ZN254_HUMAN, sp|O75820|ZN189_HUMAN, sp|P17039|ZNF30_HUMAN, sp|P35789|ZNF93_HUMAN, sp|P59923|ZN445_HUMAN, sp|Q03938|ZNF90_HUMAN, sp|Q14586|ZN267_HUMAN, sp|Q14593|ZN273_HUMAN, sp|Q15928|ZN141_HUMAN, sp|Q3KP31|ZN791_HUMAN, sp|Q3ZCX4|ZN568_HUMAN, sp|Q4V348|Z658B_HUMAN, sp|Q53GI3|ZN394_HUMAN, sp|Q5VV52|ZN691_HUMAN, sp|Q6AZW8|ZN660_HUMAN, sp|Q6P9G9|ZN449_HUMAN, sp|Q7Z3V5|ZN571_HUMAN, sp|Q86UE3|ZN546_HUMAN, sp|Q86XU0|ZN677_HUMAN, sp|Q86YE8|ZN573_HUMAN, sp|Q8N4W9|ZN808_HUMAN, sp|Q8N972|ZN709_HUMAN, sp|Q8NB50|ZFP62_HUMAN, sp|Q8NF99|ZN397_HUMAN, sp|Q8TAQ5|ZN420_HUMAN, sp|Q8TF39|ZN483_HUMAN, sp|Q8WV37|ZN480_HUMAN, sp|Q96LX8|ZN597_HUMAN, sp|Q96NL3|ZN599_HUMAN, sp|Q9H5H4|ZN768_HUMAN, sp|Q9H7R5|ZN665_HUMAN, sp|Q9NV72|ZN701_HUMAN, sp|Q9UEG4|ZN629_HUMAN, sp|Q9Y473|ZN175_HUMAN, sp|Q9Y5A6|ZSC21_HUMAN
259.0	1	sp|A2RRP1|NBAS_HUMAN	 	19.1	2371	268568	Neuroblastoma-amplified sequence OS=Homo sapiens (Human) OX=9606 GN=NBAS PE=1 SV=2	68	68	1.000	33	35	33	35	33.000	35.000	 
260.0	1	sp|A2RTX5|SYTC2_HUMAN	 	15.5	802	92645	Threonine--tRNA ligase 2, cytoplasmic OS=Homo sapiens (Human) OX=9606 GN=TARS3 PE=1 SV=1	19	13	0.684	13	6	7	6	7.353	6.000	sp|A2RTX5|SYTC2_HUMAN, sp|P26639|SYTC_HUMAN
261.0	1	sp|A2RUB1|MEIOC_HUMAN	 	3.7	952	107557	Meiosis-specific coiled-coil domain-containing protein MEIOC OS=Homo sapiens (Human) OX=9606 GN=MEIOC PE=2 SV=3	4	4	1.000	2	2	2	2	2.000	2.000	 
262.0	1	sp|A2RUB6|CCD66_HUMAN	 	1.9	948	109410	Coiled-coil domain-containing protein 66 OS=Homo sapiens (Human) OX=9606 GN=CCDC66 PE=1 SV=4	2	2	1.000	0	2	0	2	0.000	2.000	 
263.0	1	sp|A2RUC4|TYW5_HUMAN	 	27.3	315	36547	tRNA wybutosine-synthesizing protein 5 OS=Homo sapiens (Human) OX=9606 GN=TYW5 PE=1 SV=1	11	11	1.000	7	4	7	4	7.000	4.000	 
264.0	1	sp|A2RUR9|C144A_HUMAN	 	1.2	1427	165123	Coiled-coil domain-containing protein 144A OS=Homo sapiens (Human) OX=9606 GN=CCDC144A PE=2 SV=1	2	1	0.500	0	2	0	1	0.000	1.250	sp|A2RUR9|C144A_HUMAN, sp|Q8IYA2|C144C_HUMAN
265.0	1	sp|A2RUS2|DEND3_HUMAN	 	10.3	1198	135889	DENN domain-containing protein 3 OS=Homo sapiens (Human) OX=9606 GN=DENND3 PE=1 SV=2	19	19	1.000	8	11	8	11	8.000	11.000	 
266.0	1	sp|A2VDJ0|T131L_HUMAN	 	2.1	1609	179337	Transmembrane protein 131-like OS=Homo sapiens (Human) OX=9606 GN=TMEM131L PE=1 SV=2	3	3	1.000	0	3	0	3	0.000	3.000	 
267.0	1	sp|A3KMH1|VWA8_HUMAN	 	24.9	1905	214822	von Willebrand factor A domain-containing protein 8 OS=Homo sapiens (Human) OX=9606 GN=VWA8 PE=1 SV=2	53	53	1.000	29	24	29	24	29.000	24.000	 
268.0	1	sp|A3KN83|SBNO1_HUMAN	 	25.1	1393	154310	Protein strawberry notch homolog 1 OS=Homo sapiens (Human) OX=9606 GN=SBNO1 PE=1 SV=1	54	49	0.907	25	29	21	28	24.652	28.875	sp|A3KN83|SBNO1_HUMAN, sp|Q9Y2G9|SBNO2_HUMAN
269.0	1	sp|A4D1E1|Z804B_HUMAN	 	1.3	1349	152571	Zinc finger protein 804B OS=Homo sapiens (Human) OX=9606 GN=ZNF804B PE=2 SV=2	3	1	0.333	2	1	1	0	1.056	0.000	sp|A4D1E1|Z804B_HUMAN, sp|Q9UKJ3|GPTC8_HUMAN
270.0	1	sp|A4D1E9|GTPBA_HUMAN	 	39.3	387	42932	GTP-binding protein 10 OS=Homo sapiens (Human) OX=9606 GN=GTPBP10 PE=1 SV=1	39	39	1.000	25	14	25	14	25.000	14.000	 
271.0	1	sp|A4D1P6|WDR91_HUMAN	 	13.8	747	83343	WD repeat-containing protein 91 OS=Homo sapiens (Human) OX=9606 GN=WDR91 PE=1 SV=2	11	10	0.909	1	10	1	9	1.000	10.000	 
272.0	1	sp|A4D2H0|CTGEF_HUMAN	 	12.6	777	87867	cTAGE family member 15 OS=Homo sapiens (Human) OX=9606 GN=CTAGE15 PE=2 SV=1	29	0	0.000	18	11	0	0	0.333	0.000	sp|A4D2H0|CTGEF_HUMAN, sp|A4FU28|CTGE9_HUMAN, sp|Q96PC5|MIA2_HUMAN, sp|Q96RT6|CTGE2_HUMAN
272.0001	1	sp|Q86UF2|CTGE6_HUMAN	redundant	12.6	777	87899	cTAGE family member 6 OS=Homo sapiens (Human) OX=9606 GN=CTAGE6 PE=2 SV=2	29	0	0.000	18	11	0	0	0.333	0.000	sp|A4D2H0|CTGEF_HUMAN, sp|A4FU28|CTGE9_HUMAN, sp|Q96PC5|MIA2_HUMAN, sp|Q96RT6|CTGE2_HUMAN
273.0	1	sp|A4FU01|MTMRB_HUMAN	 	7.6	709	79544	Myotubularin-related protein 11 OS=Homo sapiens (Human) OX=9606 GN=MTMR11 PE=2 SV=2	8	4	0.500	5	3	1	3	1.069	3.000	sp|A4FU01|MTMRB_HUMAN, sp|P08240|SRPRA_HUMAN
274.0	1	sp|A4FU28|CTGE9_HUMAN	 	9.8	777	87952	cTAGE family member 9 OS=Homo sapiens (Human) OX=9606 GN=CTAGE9 PE=2 SV=2	23	0	0.000	14	9	0	0	0.333	0.000	sp|A4D2H0|CTGEF_HUMAN, sp|A4FU28|CTGE9_HUMAN, sp|Q96PC5|MIA2_HUMAN, sp|Q96RT6|CTGE2_HUMAN
275.0	1	sp|A5A3E0|POTEF_HUMAN	 	10.3	1075	121443	POTE ankyrin domain family member F OS=Homo sapiens (Human) OX=9606 GN=POTEF PE=1 SV=2	718	27	0.038	236	482	7	20	11.545	43.851	sp|A5A3E0|POTEF_HUMAN, sp|P0CG38|POTEI_HUMAN, sp|P0CG39|POTEJ_HUMAN, sp|P60709|ACTB_HUMAN, sp|P62736|ACTA_HUMAN, sp|P68133|ACTS_HUMAN, sp|Q562R1|ACTBL_HUMAN, sp|Q6S8J3|POTEE_HUMAN, sp|Q9BYX7|ACTBM_HUMAN
276.0	1	sp|A5D8V6|VP37C_HUMAN	 	17.5	355	38658	Vacuolar protein sorting-associated protein 37C OS=Homo sapiens (Human) OX=9606 GN=VPS37C PE=1 SV=2	10	10	1.000	4	6	4	6	4.000	6.000	 
277.0	1	sp|A5PLL7|TM189_HUMAN	 	8.9	270	31135	Plasmanylethanolamine desaturase OS=Homo sapiens (Human) OX=9606 GN=TMEM189 PE=1 SV=3	4	4	1.000	2	2	2	2	2.000	2.000	 
278.0	1	sp|A5PLN9|TPC13_HUMAN	 	19.9	417	46523	Trafficking protein particle complex subunit 13 OS=Homo sapiens (Human) OX=9606 GN=TRAPPC13 PE=1 SV=2	10	10	1.000	9	1	9	1	9.000	1.000	 
279.0	1	sp|A5YKK6|CNOT1_HUMAN	 	28.3	2376	266936	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens (Human) OX=9606 GN=CNOT1 PE=1 SV=2	163	163	1.000	95	68	95	68	95.000	68.000	 
280.0	1	sp|A6H8Y1|BDP1_HUMAN	 	12.4	2624	293882	Transcription factor TFIIIB component B'' homolog OS=Homo sapiens (Human) OX=9606 GN=BDP1 PE=1 SV=3	26	26	1.000	6	20	6	20	6.000	20.000	 
281.0	1	sp|A6NC78|GOG8I_HUMAN	 	3.5	632	71329	Putative golgin subfamily A member 8I OS=Homo sapiens (Human) OX=9606 GN=GOLGA8IP PE=5 SV=2	2	2	1.000	0	2	0	2	0.000	2.000	 
282.0	1	sp|A6NCE7|MP3B2_HUMAN	 	22.4	125	14628	Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens (Human) OX=9606 GN=MAP1LC3B2 PE=2 SV=1	7	3	0.429	7	0	3	0	6.000	0.000	sp|A6NCE7|MP3B2_HUMAN, sp|Q9H492|MLP3A_HUMAN
282.0001	1	sp|Q9GZQ8|MLP3B_HUMAN	redundant	22.4	125	14688	Microtubule-associated proteins 1A/1B light chain 3B OS=Homo sapiens (Human) OX=9606 GN=MAP1LC3B PE=1 SV=3	7	3	0.429	7	0	3	0	6.000	0.000	sp|A6NCE7|MP3B2_HUMAN, sp|Q9H492|MLP3A_HUMAN
283.0	1	sp|A6ND36|FA83G_HUMAN	 	8.7	823	90834	Protein FAM83G OS=Homo sapiens (Human) OX=9606 GN=FAM83G PE=1 SV=2	5	5	1.000	2	3	2	3	2.000	3.000	 
284.0	1	sp|A6NDB9|PALM3_HUMAN	 	21.0	673	71695	Paralemmin-3 OS=Homo sapiens (Human) OX=9606 GN=PALM3 PE=1 SV=2	17	17	1.000	2	15	2	15	2.000	15.000	 
285.0	1	sp|A6NDE4|RBY1B_HUMAN	 	4.0	496	55834	RNA-binding motif protein, Y chromosome, family 1 member B OS=Homo sapiens (Human) OX=9606 GN=RBMY1B PE=2 SV=2	2	1	0.500	2	0	1	0	1.026	0.000	sp|A6NDE4|RBY1B_HUMAN, sp|P38159|RBMX_HUMAN
285.0001	1	sp|A6NEQ0|RBY1E_HUMAN	redundant	4.0	496	55758	RNA-binding motif protein, Y chromosome, family 1 member E OS=Homo sapiens (Human) OX=9606 GN=RBMY1E PE=2 SV=1	2	1	0.500	2	0	1	0	1.026	0.000	sp|A6NDE4|RBY1B_HUMAN, sp|P38159|RBMX_HUMAN
285.0002	1	sp|P0C7P1|RBY1D_HUMAN	redundant	4.0	496	55774	RNA-binding motif protein, Y chromosome, family 1 member D OS=Homo sapiens (Human) OX=9606 GN=RBMY1D PE=2 SV=1	2	1	0.500	2	0	1	0	1.026	0.000	sp|A6NDE4|RBY1B_HUMAN, sp|P38159|RBMX_HUMAN
285.0003	1	sp|P0DJD3|RBY1A_HUMAN	redundant	4.0	496	55783	RNA-binding motif protein, Y chromosome, family 1 member A1 OS=Homo sapiens (Human) OX=9606 GN=RBMY1A1 PE=1 SV=1	2	1	0.500	2	0	1	0	1.026	0.000	sp|A6NDE4|RBY1B_HUMAN, sp|P38159|RBMX_HUMAN
285.0004	1	sp|P0DJD4|RBY1C_HUMAN	redundant	4.0	496	55783	RNA-binding motif protein, Y chromosome, family 1 member C OS=Homo sapiens (Human) OX=9606 GN=RBMY1C PE=1 SV=1	2	1	0.500	2	0	1	0	1.026	0.000	sp|A6NDE4|RBY1B_HUMAN, sp|P38159|RBMX_HUMAN
285.0005	1	sp|Q15415|RBY1F_HUMAN	redundant	4.0	496	55728	RNA-binding motif protein, Y chromosome, family 1 member F/J OS=Homo sapiens (Human) OX=9606 GN=RBMY1F PE=1 SV=2	2	1	0.500	2	0	1	0	1.026	0.000	sp|A6NDE4|RBY1B_HUMAN, sp|P38159|RBMX_HUMAN
286.0	1	sp|A6NDG6|PGP_HUMAN	 	45.5	321	34006	Glycerol-3-phosphate phosphatase OS=Homo sapiens (Human) OX=9606 GN=PGP PE=1 SV=1	17	17	1.000	11	6	11	6	11.000	6.000	 
287.0	1	sp|A6NDU8|CE051_HUMAN	 	34.4	294	33620	UPF0600 protein C5orf51 OS=Homo sapiens (Human) OX=9606 GN=C5orf51 PE=1 SV=1	18	18	1.000	8	10	8	10	8.000	10.000	 
288.0	1	sp|A6NED2|RCCD1_HUMAN	 	11.7	376	40078	RCC1 domain-containing protein 1 OS=Homo sapiens (Human) OX=9606 GN=RCCD1 PE=1 SV=1	9	9	1.000	3	6	3	6	3.000	6.000	 
289.0	1	sp|A6NEE1|PLHD1_HUMAN	 	4.0	506	59203	Pleckstrin homology domain-containing family D member 1 OS=Homo sapiens (Human) OX=9606 GN=PLEKHD1 PE=2 SV=3	2	2	1.000	0	2	0	2	0.000	2.000	 
290.0	1	sp|A6NFI3|ZN316_HUMAN	 	6.0	1004	108436	Zinc finger protein 316 OS=Homo sapiens (Human) OX=9606 GN=ZNF316 PE=1 SV=1	4	4	1.000	3	1	3	1	3.000	1.000	 
291.0	1	sp|A6NFY4|NEMP2_HUMAN	 	3.8	417	48663	Nuclear envelope integral membrane protein 2 OS=Homo sapiens (Human) OX=9606 GN=NEMP2 PE=2 SV=3	4	4	1.000	1	3	1	3	1.000	3.000	 
292.0	1	sp|A6NHG4|DDTL_HUMAN	 	11.2	134	14195	D-dopachrome decarboxylase-like protein OS=Homo sapiens (Human) OX=9606 GN=DDTL PE=2 SV=1	11	11	1.000	5	6	5	6	5.000	6.000	 
292.0001	1	sp|P30046|DOPD_HUMAN	redundant	12.7	118	12712	D-dopachrome decarboxylase OS=Homo sapiens (Human) OX=9606 GN=DDT PE=1 SV=3	11	11	1.000	5	6	5	6	5.000	6.000	 
293.0	1	sp|A6NHR9|SMHD1_HUMAN	 	35.0	2005	226371	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens (Human) OX=9606 GN=SMCHD1 PE=1 SV=2	144	144	1.000	78	66	78	66	78.000	66.000	 
294.0	1	sp|A6NI28|RHG42_HUMAN	 	5.3	874	98568	Rho GTPase-activating protein 42 OS=Homo sapiens (Human) OX=9606 GN=ARHGAP42 PE=1 SV=3	7	7	1.000	2	5	2	5	2.000	5.000	 
295.0	1	sp|A6NIH7|U119B_HUMAN	 	29.9	251	28136	Protein unc-119 homolog B OS=Homo sapiens (Human) OX=9606 GN=UNC119B PE=1 SV=1	12	12	1.000	5	7	5	7	5.000	7.000	 
296.0	1	sp|A6NJ78|MET15_HUMAN	 	23.3	407	46121	Probable methyltransferase-like protein 15 OS=Homo sapiens (Human) OX=9606 GN=METTL15 PE=1 SV=1	14	14	1.000	5	9	5	9	5.000	9.000	 
297.0	1	sp|A6NJW9|CD8B2_HUMAN	 	11.4	210	23703	T-cell surface glycoprotein CD8 beta-2 chain OS=Homo sapiens (Human) OX=9606 GN=CD8B2 PE=3 SV=3	2	2	1.000	0	2	0	2	0.000	2.000	 
298.0	1	sp|A6NKD9|CC85C_HUMAN	 	20.0	419	45209	Coiled-coil domain-containing protein 85C OS=Homo sapiens (Human) OX=9606 GN=CCDC85C PE=1 SV=1	14	14	1.000	3	11	3	11	3.000	11.000	 
299.0	1	sp|A6NKF1|SAC31_HUMAN	 	11.6	404	43553	SAC3 domain-containing protein 1 OS=Homo sapiens (Human) OX=9606 GN=SAC3D1 PE=1 SV=2	3	3	1.000	0	3	0	3	0.000	3.000	 
300.0	1	sp|A6NKT7|RGPD3_HUMAN	 	30.2	1758	197485	RanBP2-like and GRIP domain-containing protein 3 OS=Homo sapiens (Human) OX=9606 GN=RGPD3 PE=3 SV=2	127	0	0.000	76	51	0	0	0.000	0.000	sp|A6NKT7|RGPD3_HUMAN, sp|O14715|RGPD8_HUMAN, sp|P0DJD0|RGPD1_HUMAN, sp|P49792|RBP2_HUMAN, sp|Q05823|RN5A_HUMAN, sp|Q7Z3J3|RGPD4_HUMAN, sp|Q8IWJ2|GCC2_HUMAN, sp|Q99666|RGPD5_HUMAN
301.0	1	sp|A6NNY8|UBP27_HUMAN	 	6.4	438	49630	Ubiquitin carboxyl-terminal hydrolase 27 OS=Homo sapiens (Human) OX=9606 GN=USP27X PE=1 SV=3	8	0	0.000	3	5	0	0	0.000	0.000	sp|A6NNY8|UBP27_HUMAN, sp|Q63HN8|RN213_HUMAN, sp|Q70EK9|UBP51_HUMAN, sp|Q9UPT9|UBP22_HUMAN
302.0	1	sp|A7E2V4|ZSWM8_HUMAN	 	8.4	1837	197295	Zinc finger SWIM domain-containing protein 8 OS=Homo sapiens (Human) OX=9606 GN=ZSWIM8 PE=1 SV=1	21	21	1.000	9	12	9	12	9.000	12.000	 
303.0	1	sp|A7KAX9|RHG32_HUMAN	 	3.0	2087	230526	Rho GTPase-activating protein 32 OS=Homo sapiens (Human) OX=9606 GN=ARHGAP32 PE=1 SV=1	6	6	1.000	1	5	1	5	1.000	5.000	 
304.0	1	sp|A7MCY6|TBKB1_HUMAN	 	11.4	615	67701	TANK-binding kinase 1-binding protein 1 OS=Homo sapiens (Human) OX=9606 GN=TBKBP1 PE=1 SV=1	11	11	1.000	5	6	5	6	5.000	6.000	 
305.0	1	sp|A8CG34|P121C_HUMAN	 	7.5	1229	125090	Nuclear envelope pore membrane protein POM 121C OS=Homo sapiens (Human) OX=9606 GN=POM121C PE=1 SV=3	15	15	1.000	6	9	6	9	6.000	9.000	 
305.0001	1	sp|Q96HA1|P121A_HUMAN	redundant	7.4	1249	127719	Nuclear envelope pore membrane protein POM 121 OS=Homo sapiens (Human) OX=9606 GN=POM121 PE=1 SV=2	15	15	1.000	6	9	6	9	6.000	9.000	 
306.0	1	sp|A8K855|EFCB7_HUMAN	 	10.7	629	71981	EF-hand calcium-binding domain-containing protein 7 OS=Homo sapiens (Human) OX=9606 GN=EFCAB7 PE=1 SV=1	5	5	1.000	2	3	2	3	2.000	3.000	 
307.0	1	sp|A8MPP1|D11L8_HUMAN	 	10.4	907	101810	Putative ATP-dependent RNA helicase DDX11-like protein 8 OS=Homo sapiens (Human) OX=9606 GN=DDX11L8 PE=1 SV=1	12	0	0.000	5	7	0	0	2.000	2.667	sp|A8MPP1|D11L8_HUMAN, sp|Q92771|DDX12_HUMAN, sp|Q96FC9|DDX11_HUMAN
308.0	1	sp|A8MT65|ZN891_HUMAN	 	11.0	544	63591	Zinc finger protein 891 OS=Homo sapiens (Human) OX=9606 GN=ZNF891 PE=2 SV=2	7	1	0.143	5	2	0	1	0.500	1.111	sp|A2RRD8|ZN320_HUMAN, sp|A8MT65|ZN891_HUMAN, sp|O60765|Z354A_HUMAN, sp|P17014|ZNF12_HUMAN, sp|P17039|ZNF30_HUMAN, sp|P58317|ZN121_HUMAN, sp|P59923|ZN445_HUMAN, sp|Q03938|ZNF90_HUMAN, sp|Q15928|ZN141_HUMAN, sp|Q15935|ZNF77_HUMAN, sp|Q3KP31|ZN791_HUMAN, sp|Q7Z3V5|ZN571_HUMAN, sp|Q86UE3|ZN546_HUMAN, sp|Q86XU0|ZN677_HUMAN, sp|Q86YE8|ZN573_HUMAN, sp|Q8N972|ZN709_HUMAN, sp|Q8WV37|ZN480_HUMAN, sp|Q96BR6|ZN669_HUMAN, sp|Q9BS34|ZN670_HUMAN, sp|Q9BUY5|ZN426_HUMAN, sp|Q9H0M5|ZN700_HUMAN, sp|Q9H7R5|ZN665_HUMAN, sp|Q9NV72|ZN701_HUMAN
309.0	1	sp|A8MT69|CENPX_HUMAN	 	38.3	81	8959	Centromere protein X OS=Homo sapiens (Human) OX=9606 GN=CENPX PE=1 SV=1	5	5	1.000	1	4	1	4	1.000	4.000	 
